DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;0.031;0.043;-0.011
40;0.031;0.043;-0.011
80;0.023;-0.018;-0.011
100;0.023;-0.016;-0.013
140;0.032;0.003;-0.015
160;0.038;-0.001;-0.021
200;0.030;0.026;-0.035
240;0.020;-0.003;-0.015
280;0.032;-0.010;-0.023
320;0.029;0.010;-0.029
360;0.028;-0.018;-0.004
400;0.029;-0.021;-0.023
440;0.010;0.001;-0.026
460;0.001;0.000;-0.016
500;0.004;-0.021;-0.007
540;0.010;-0.026;-0.007
580;0.018;0.007;-0.010
620;0.010;-0.020;-0.012
660;0.001;-0.013;-0.009
700;0.004;-0.016;-0.008
740;-0.007;0.001;-0.013
780;0.002;-0.010;-0.012
820;-0.006;0.001;-0.011
860;-0.013;-0.002;-0.008
900;-0.012;-0.002;-0.013
940;-0.005;0.005;-0.013
980;-0.011;-0.009;-0.013
1020;-0.013;0.005;-0.022
1060;-0.015;-0.001;-0.022
1100;-0.010;-0.009;-0.016
1140;-0.010;-0.004;-0.016
1180;-0.004;-0.001;-0.016
1220;-0.005;-0.003;-0.016
1260;-0.001;-0.007;-0.015
1300;0.001;-0.005;-0.016
1340;0.010;-0.011;-0.018
1380;0.010;0.004;-0.029
1420;-0.001;-0.006;-0.008
1460;0.013;0.004;-0.012
1500;0.001;0.026;-0.018
1540;0.003;-0.003;-0.012
1580;0.009;-0.015;-0.012
1620;0.010;-0.021;-0.008
1660;0.008;-0.005;-0.004
1700;0.007;-0.013;-0.006
1740;0.002;-0.004;-0.013
1780;-0.001;0.007;-0.008
1820;0.001;-0.015;-0.009
1860;-0.007;0.005;-0.021
1900;-0.024;-0.013;-0.023
1940;-0.049;-0.064;-0.022
1980;-0.122;-0.019;-0.031
2020;-0.251;-0.053;-0.040
2060;-0.265;-0.125;-0.057
2100;-0.349;-0.078;-0.015
2140;-0.611;-0.059;-0.051
2180;-0.649;-0.031;-0.057
2220;-0.633;-0.028;-0.060
2260;-0.645;-0.038;-0.045
2300;-0.613;0.121;-0.015
2340;-0.596;0.139;-0.016
2380;-0.470;0.022;-0.045
2420;-0.432;0.151;-0.083
2460;-0.370;0.119;-0.097
2500;-0.324;0.054;-0.121
2540;-0.338;-0.024;-0.097
2580;-0.435;-0.059;-0.020
2620;-0.530;0.059;0.000
2660;-0.591;0.131;0.009
2700;-0.656;0.156;-0.027
2740;-0.708;0.136;-0.081
2780;-0.764;0.151;-0.151
2820;-0.812;0.128;-0.206
2860;-0.844;0.083;-0.227
2900;-0.767;0.021;-0.239
2940;-0.664;0.056;-0.190
2980;-0.538;0.281;-0.211
