DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.034;-0.001;0.005
40;-0.034;-0.001;0.005
80;-0.007;-0.006;0.001
120;-0.005;-0.005;0.001
160;-0.005;-0.001;0.002
200;-0.005;-0.002;0.002
240;-0.006;0.000;0.002
280;-0.004;0.000;0.001
320;-0.004;-0.002;0.000
360;-0.004;-0.001;0.001
400;-0.004;-0.001;0.001
440;-0.004;-0.001;-0.001
460;-0.004;-0.001;-0.001
500;-0.003;-0.001;-0.001
540;-0.003;-0.002;-0.001
580;-0.002;-0.004;-0.002
600;-0.004;-0.002;-0.001
640;-0.001;-0.003;-0.002
680;-0.004;-0.001;-0.001
720;-0.007;0.001;-0.002
760;-0.002;0.000;-0.001
800;0.000;0.000;-0.001
840;-0.004;0.002;0.000
880;-0.006;0.003;0.000
920;-0.005;0.001;-0.001
960;-0.001;0.001;0.000
1000;-0.005;0.001;0.001
1040;-0.002;0.001;0.000
1080;0.001;0.001;-0.001
1120;0.001;0.002;0.001
1160;-0.002;-0.001;0.001
1200;-0.004;-0.001;0.002
1240;0.001;-0.001;0.000
1280;-0.001;0.001;0.001
1320;-0.001;0.000;0.000
1360;0.001;-0.001;0.001
1400;0.001;0.001;0.000
1440;0.001;0.000;-0.001
1480;0.004;-0.002;0.001
1520;0.005;-0.001;-0.002
1560;0.003;0.000;-0.001
1600;0.004;0.001;0.000
1640;0.002;-0.001;-0.001
1680;0.006;0.001;-0.002
1720;0.006;0.001;-0.001
1760;0.006;0.001;-0.001
1800;0.004;0.001;-0.001
1840;0.004;0.000;0.000
1860;0.005;0.001;-0.001
1900;0.005;0.003;-0.002
1920;0.001;0.003;-0.001
1960;0.000;0.002;0.000
2000;-0.001;0.003;-0.001
2040;-0.001;0.002;-0.002
2080;-0.001;0.001;-0.001
2120;-0.002;-0.001;-0.001
2160;-0.005;-0.002;0.001
2200;-0.008;-0.001;0.001
2240;-0.005;-0.001;0.002
2280;-0.003;-0.001;0.002
2320;-0.005;0.000;0.004
2360;-0.006;-0.001;0.002
2400;-0.013;-0.005;0.004
2440;-0.021;-0.004;0.004
2480;-0.025;-0.002;0.003
2520;-0.025;0.000;0.004
2560;-0.035;0.001;0.007
2600;-0.055;-0.002;0.005
2640;-0.076;-0.006;0.005
2680;-0.107;-0.013;0.008
2720;-0.146;-0.010;0.007
