DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;0.001;0.002;0.008
40;0.001;0.002;0.008
80;0.009;-0.005;0.009
120;0.007;-0.002;0.005
160;0.010;0.001;0.001
200;0.009;0.001;-0.001
240;0.010;-0.003;0.001
280;0.010;-0.004;0.001
320;0.007;0.001;-0.001
360;0.005;-0.005;-0.001
400;0.007;-0.003;-0.001
440;-0.004;0.004;-0.001
480;0.001;-0.001;-0.001
520;-0.001;0.002;-0.001
560;0.002;-0.005;0.001
600;0.005;-0.005;-0.001
640;0.010;-0.001;0.001
680;0.007;-0.002;0.005
720;0.006;-0.005;0.001
760;0.008;-0.010;-0.001
800;-0.002;-0.005;-0.001
840;0.007;0.001;-0.002
880;0.028;0.025;-0.001
920;0.026;0.025;-0.005
960;0.023;-0.001;-0.012
980;0.018;-0.007;-0.012
1020;0.007;-0.001;-0.010
1060;0.012;0.021;-0.005
1100;0.013;-0.002;-0.007
1140;0.015;-0.020;-0.006
1180;0.014;-0.023;-0.012
1200;0.018;-0.015;-0.007
1240;0.031;-0.019;-0.004
1280;0.036;-0.015;-0.002
1320;0.027;-0.015;0.000
1360;0.024;-0.013;-0.002
1380;0.016;-0.010;-0.004
1420;0.009;-0.011;-0.002
1440;0.010;-0.007;-0.001
1480;0.009;0.002;-0.001
1520;0.005;0.000;-0.002
1540;0.008;-0.001;-0.001
1580;0.001;0.000;0.004
1620;-0.005;0.012;0.006
1660;0.003;0.007;0.007
1700;-0.002;0.004;0.004
1740;0.004;0.002;0.004
1780;0.001;-0.001;0.002
1820;-0.002;0.001;0.000
1860;-0.016;0.005;0.000
1900;-0.012;0.005;0.002
1920;-0.016;0.004;0.006
1960;-0.026;-0.007;0.009
2000;-0.021;-0.006;0.010
2040;-0.043;-0.004;0.015
2080;-0.037;-0.005;0.004
2120;-0.051;-0.009;0.007
2160;-0.052;-0.006;0.010
2200;-0.080;0.014;0.005
2240;-0.083;0.013;0.015
2280;-0.100;-0.009;0.012
2320;-0.126;-0.007;0.012
2360;-0.195;-0.009;0.005
2380;-0.249;-0.016;-0.007
2420;-0.280;-0.031;-0.012
2460;-0.312;-0.014;-0.014
2500;-0.320;-0.013;-0.034
2540;-0.367;-0.001;-0.023
2580;-0.439;0.013;-0.046
2620;-0.526;0.006;-0.041
2640;-0.567;0.005;-0.046
2680;-0.640;0.038;-0.066
2720;-0.689;-0.010;-0.082
2760;-0.735;0.015;-0.123
2800;-0.778;-0.024;-0.098
2840;-0.829;-0.015;-0.077
