DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;0.001;-0.020;-0.001
20;0.001;-0.020;-0.001
60;0.001;-0.020;-0.001
80;0.010;-0.011;0.000
120;0.010;-0.011;0.001
160;0.007;-0.010;0.006
201;0.005;-0.010;0.005
240;0.006;-0.004;0.002
260;0.009;-0.003;0.002
300;0.009;-0.007;-0.001
340;0.007;-0.005;-0.002
360;0.007;0.002;-0.001
400;0.007;-0.006;0.003
420;0.008;-0.002;0.003
460;0.007;-0.002;0.000
500;0.009;-0.013;0.003
520;0.009;-0.007;0.002
560;0.006;-0.018;0.001
600;0.007;-0.023;0.003
640;0.008;-0.012;0.002
680;0.003;-0.030;0.004
720;0.004;-0.026;0.006
760;0.003;-0.034;0.007
800;-0.001;-0.038;0.006
840;-0.001;-0.018;0.001
880;-0.001;-0.028;0.002
920;-0.001;0.000;-0.005
960;0.000;-0.005;-0.005
980;0.001;-0.002;-0.007
1020;0.004;0.001;-0.007
1040;0.003;-0.001;-0.006
1080;0.000;-0.002;-0.006
1120;-0.003;-0.002;-0.004
1160;-0.002;-0.010;-0.004
1200;0.003;-0.007;-0.002
1240;0.008;-0.026;-0.002
1260;0.009;-0.021;-0.003
1300;0.001;-0.004;-0.002
1340;0.013;-0.003;-0.001
1380;0.010;0.005;-0.002
1420;0.014;-0.005;-0.005
1460;0.005;-0.002;-0.005
1500;0.004;0.001;-0.004
1540;0.000;0.002;-0.005
1580;-0.005;-0.001;-0.003
1620;-0.001;-0.004;-0.002
1660;-0.001;-0.002;-0.002
1700;-0.001;0.002;-0.002
1740;-0.005;0.001;0.001
1780;-0.005;0.003;0.001
1820;-0.007;0.004;0.002
1860;-0.007;-0.001;0.003
1900;-0.006;0.002;0.003
1940;-0.005;-0.003;0.004
1960;-0.004;-0.002;0.002
2000;-0.002;0.000;0.002
2040;-0.001;0.010;0.005
2080;-0.001;0.002;0.004
2120;0.004;0.002;0.003
2160;0.005;0.001;0.002
2200;0.007;0.001;0.001
2240;0.005;0.001;-0.001
2280;0.008;-0.004;-0.002
2320;0.007;-0.002;-0.002
2360;0.007;0.001;-0.002
2400;0.005;0.001;-0.002
2420;0.006;-0.001;-0.003
2460;0.007;-0.001;-0.003
2500;0.008;-0.003;-0.002
2540;0.006;-0.006;-0.002
2580;0.006;-0.008;-0.004
2620;0.006;-0.004;-0.004
2660;0.005;0.001;-0.003
2700;0.005;0.003;-0.003
2740;0.001;0.001;-0.004
2780;0.001;-0.002;-0.002
2820;0.007;-0.004;0.000
2860;0.007;-0.006;-0.001
2900;0.002;-0.004;0.002
2940;0.002;-0.006;0.002
2980;0.005;0.003;0.000
3020;0.004;0.007;-0.002
3060;0.001;0.003;-0.002
3080;-0.001;0.001;-0.001
3120;0.002;0.000;-0.002
3160;0.000;-0.002;-0.002
3180;0.001;-0.004;0.001
3220;-0.003;-0.009;0.002
3260;-0.004;-0.006;0.002
3300;-0.004;0.002;0.005
3340;-0.007;0.001;0.004
3380;-0.008;-0.002;0.005
3420;-0.009;-0.001;0.007
3460;-0.011;0.001;0.008
3480;-0.010;0.001;0.009
3520;-0.007;0.001;0.008
3560;-0.004;0.000;0.007
3600;-0.005;0.004;0.007
3640;-0.013;0.009;0.015
3680;-0.018;0.016;0.007
3720;-0.016;0.004;0.001
3760;-0.021;0.010;0.013
3800;-0.046;0.035;0.027
3840;-0.080;0.035;0.038
3880;-0.094;0.030;0.029
3920;-0.096;0.075;0.009
3960;-0.095;0.057;0.010
4000;-0.108;0.044;0.028
4040;-0.173;0.093;0.042
4080;-0.272;0.047;0.031
4120;-0.295;0.073;0.068
4160;-0.285;0.145;0.111
4201;-0.338;0.143;0.130
4240;-0.462;0.153;0.117
4280;-0.633;0.102;0.075
4320;-0.764;0.020;0.083
4360;-0.869;-0.082;0.090
4400;-1.066;-0.181;0.059
4440;-1.142;-0.200;0.043
4480;-1.199;-0.450;0.031
4520;-1.132;-0.464;-0.024
4560;-0.977;-0.351;-0.088
4600;-0.869;-0.114;-0.100
4640;-0.726;-0.066;-0.134
4680;-0.567;0.024;-0.133
4720;-0.336;0.048;-0.066
4760;-0.126;0.038;-0.067
4800;0.021;0.094;-0.085
4840;0.147;0.128;-0.100
4880;0.216;0.051;-0.122
4920;0.294;0.062;-0.002
4960;0.433;0.056;0.122
4980;0.464;0.084;0.133
5020;0.707;0.137;0.195
5060;0.937;0.206;0.312
5100;1.087;0.352;0.322
5140;1.192;0.332;0.277
5180;1.279;0.255;0.172
5220;1.228;0.133;0.004
5260;1.074;0.003;-0.056
5300;0.889;-0.110;-0.084
5340;0.721;-0.037;-0.049
5380;0.577;0.051;-0.013
5420;0.505;0.091;-0.012
5460;0.401;0.036;-0.068
5500;0.304;-0.078;-0.101
5540;0.221;-0.114;-0.094
5580;0.183;-0.175;-0.071
5620;0.175;-0.241;-0.043
5660;0.189;-0.216;-0.022
5700;0.140;-0.138;-0.021
5740;0.084;-0.222;0.001
5780;0.048;-0.294;0.022
5820;-0.024;-0.241;0.037
5860;-0.098;-0.162;0.048
5900;-0.131;-0.103;0.038
5940;-0.139;0.001;0.014
5980;-0.106;0.089;-0.014
6020;-0.075;0.181;-0.065
6060;-0.010;0.285;-0.101
6100;0.084;0.242;-0.142
6120;0.128;0.215;-0.153
6160;0.269;0.257;-0.197
6200;0.281;0.048;-0.065
6240;0.314;-0.301;-0.131
6281;0.407;0.131;-0.106
6321;0.221;0.385;0.004
6361;0.062;0.453;0.025
