DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;0.002;0.005;-0.001
20;0.002;0.005;-0.001
60;0.002;0.005;-0.001
100;0.003;-0.015;0.002
120;-0.001;-0.017;0.001
160;0.005;-0.012;0.004
200;0.005;-0.010;0.008
240;0.005;-0.008;0.005
280;0.009;-0.007;0.001
320;0.010;-0.002;0.004
360;0.011;0.001;0.005
400;0.009;0.008;0.005
440;0.007;0.013;0.005
480;0.006;0.001;0.001
500;0.009;0.003;0.002
540;0.008;0.001;0.009
580;0.011;0.000;0.007
620;0.012;0.002;-0.003
660;0.012;-0.033;0.002
700;0.009;-0.011;0.004
740;0.007;-0.027;0.002
780;0.014;-0.015;0.002
800;0.010;-0.015;0.010
840;0.022;0.004;0.007
880;0.016;0.009;-0.002
920;0.020;0.000;-0.003
960;0.019;0.006;0.000
1000;0.021;-0.001;-0.008
1040;0.023;-0.001;-0.007
1080;0.015;0.002;0.000
1120;0.016;-0.004;-0.005
1160;0.016;-0.003;-0.007
1180;0.018;-0.004;-0.007
1220;0.018;-0.001;-0.005
1260;0.016;-0.004;-0.005
1300;0.016;0.001;-0.005
1340;0.018;0.007;-0.004
1380;0.016;0.007;-0.002
1400;0.013;0.009;-0.002
1440;0.010;0.007;-0.003
1480;0.005;0.003;-0.003
1520;0.003;0.001;-0.004
1560;0.000;0.007;-0.005
1580;-0.002;0.004;-0.004
1620;-0.009;-0.001;-0.002
1660;-0.013;0.001;-0.005
1700;-0.013;-0.001;-0.005
1740;-0.016;-0.005;-0.005
1780;-0.015;-0.004;-0.005
1820;-0.016;-0.005;-0.005
1860;-0.013;-0.003;-0.005
1900;-0.009;-0.004;-0.002
1940;-0.005;-0.004;-0.001
1980;0.001;-0.004;-0.003
2020;0.002;-0.006;-0.003
2060;0.003;0.002;0.000
2100;0.003;-0.005;-0.003
2140;0.005;-0.004;-0.003
2180;0.007;-0.005;-0.002
2220;0.009;-0.007;-0.003
2260;0.008;-0.005;-0.001
2300;0.008;-0.003;0.001
2340;0.007;-0.004;-0.002
2380;0.007;-0.002;0.001
2420;0.008;0.001;0.002
2460;0.008;-0.002;0.001
2500;0.002;0.004;0.004
2540;0.001;0.008;0.005
2580;0.000;0.004;0.004
2620;-0.004;0.007;0.008
2660;-0.008;0.005;0.007
2700;-0.009;0.005;0.004
2740;-0.010;0.007;0.006
2780;-0.016;0.004;0.005
2820;-0.018;0.007;0.004
2860;-0.021;-0.002;0.006
2900;-0.016;0.000;0.004
2940;-0.006;-0.007;-0.012
2980;-0.031;-0.004;-0.045
3020;-0.141;-0.065;-0.052
3060;-0.273;-0.033;-0.022
3100;-0.387;0.016;-0.013
3140;-0.448;-0.036;-0.032
3180;-0.591;-0.080;-0.067
3220;-0.726;-0.087;-0.060
3260;-0.923;-0.092;-0.067
3280;-1.037;-0.038;-0.054
3320;-1.147;0.089;0.007
3360;-1.142;0.210;-0.021
3400;-1.068;0.250;-0.075
3440;-1.013;0.310;-0.134
3480;-0.986;0.326;-0.150
3520;-0.859;0.199;-0.194
3560;-0.731;0.010;-0.286
3600;-0.668;-0.052;-0.267
3640;-0.558;-0.071;-0.164
3680;-0.272;-0.092;-0.023
3720;0.045;-0.177;0.071
3760;0.255;-0.181;0.026
3800;0.525;-0.153;-0.078
3840;0.773;-0.111;-0.020
3880;0.935;-0.213;0.037
3920;1.113;-0.278;0.053
3960;1.253;-0.327;0.082
4000;1.353;-0.321;0.101
4040;1.355;-0.324;0.104
4060;1.305;-0.311;0.101
4100;1.227;-0.278;0.128
4140;1.020;-0.131;0.034
4180;0.723;0.090;-0.095
4220;0.577;0.143;-0.101
4260;0.351;0.125;-0.095
4280;0.279;0.125;-0.108
4320;0.169;-0.031;-0.107
4360;0.060;-0.185;-0.017
4400;-0.030;-0.272;0.056
4440;0.023;-0.250;0.029
4480;0.048;-0.210;0.029
4520;0.098;-0.173;0.059
4560;0.183;-0.180;0.111
4600;0.288;-0.130;0.155
4640;0.433;-0.011;0.111
4680;0.318;0.134;-0.184
4720;0.396;-0.188;-0.043
4760;0.079;-0.462;0.087
4780;0.025;-0.609;0.039
4820;-0.126;-0.567;-0.053
4860;0.040;-0.121;0.120
4900;0.030;-0.062;0.260
4940;-0.018;-0.097;0.216
4980;-0.082;-0.145;0.097
5020;-0.032;-0.031;0.100
5040;-0.009;0.032;0.106
5080;-0.013;-0.065;0.007
5120;0.021;-0.108;-0.024
5160;0.087;-0.073;-0.006
5200;0.193;-0.031;0.056
5240;0.316;-0.001;0.118
5280;0.188;0.023;0.378
5320;0.193;0.131;0.170
5360;0.021;0.750;0.038
5400;0.097;0.522;-0.066
5440;0.197;0.315;-0.199
5480;0.225;0.445;-0.232
5520;0.107;0.356;-0.234
5560;0.018;0.370;-0.163
5600;0.018;0.221;-0.197
5640;0.038;0.100;-0.101
5680;0.115;0.020;0.008
5720;0.178;-0.092;0.001
5760;0.343;-0.111;-0.022
5800;0.476;-0.108;-0.043
5840;0.302;-0.103;-0.283
5880;0.185;-0.450;-0.110
5920;-0.015;-0.577;0.046
5960;-0.166;-0.649;0.067
