DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.001;-0.004;-0.001
40;-0.001;-0.004;-0.001
80;0.010;0.002;0.000
120;0.010;0.000;0.000
160;0.013;0.001;0.000
200;0.021;0.001;0.001
240;0.020;0.001;0.002
280;0.016;0.004;0.002
320;0.013;0.003;0.002
360;0.014;0.005;0.001
400;0.018;0.006;0.001
440;0.014;0.003;0.001
480;0.010;0.002;0.000
500;0.011;0.002;-0.001
540;0.006;-0.001;-0.002
580;0.001;-0.004;-0.004
620;0.004;-0.002;-0.004
660;-0.002;-0.002;-0.002
700;-0.010;-0.001;0.001
720;-0.012;-0.002;0.001
740;-0.009;-0.002;0.001
780;-0.004;-0.001;0.002
820;-0.002;-0.001;0.001
860;0.000;-0.001;-0.001
900;-0.004;-0.001;0.001
940;0.003;-0.005;-0.002
980;0.000;-0.004;-0.002
1020;0.001;-0.005;-0.005
1060;-0.006;-0.005;-0.002
1100;-0.006;-0.001;-0.002
1140;-0.003;0.002;-0.003
1160;-0.004;0.000;-0.003
1200;-0.004;0.001;-0.004
1240;0.001;-0.002;-0.004
1280;0.002;-0.002;-0.002
1300;0.003;-0.002;-0.003
1340;0.004;-0.002;-0.004
1380;-0.003;-0.003;-0.002
1400;-0.004;-0.004;-0.002
1440;-0.001;-0.002;-0.002
1480;-0.001;0.000;-0.002
1520;-0.001;0.000;-0.002
1560;0.000;0.001;-0.001
1600;0.002;0.001;-0.001
1620;0.002;0.001;0.000
1660;0.004;-0.001;0.001
1700;0.003;-0.004;-0.001
1740;-0.001;-0.004;0.001
1780;-0.005;-0.002;0.001
1820;-0.013;-0.004;0.002
1860;-0.017;0.001;0.001
1900;-0.016;0.005;0.003
1940;-0.016;0.007;0.003
1980;-0.020;0.003;0.004
2020;-0.020;-0.005;0.002
2060;-0.015;-0.012;0.003
2100;-0.012;-0.014;0.002
2140;0.002;-0.005;0.001
2180;0.002;0.000;0.002
2220;0.000;0.002;0.005
2260;-0.014;-0.005;0.008
2300;-0.039;-0.003;0.010
2340;-0.054;-0.005;0.023
2360;-0.059;-0.007;0.027
2400;-0.093;0.001;0.029
2440;-0.134;0.020;0.040
2480;-0.160;0.037;0.047
2500;-0.191;0.037;0.049
2540;-0.247;0.037;0.056
2580;-0.280;0.038;0.067
2600;-0.300;0.035;0.071
2640;-0.360;0.042;0.080
2680;-0.407;0.054;0.095
2720;-0.450;0.070;0.098
2760;-0.517;0.076;0.089
2800;-0.619;0.081;0.075
2840;-0.638;0.067;0.051
2880;-0.648;0.047;0.025
2920;-0.743;-0.004;0.000
2960;-0.791;-0.024;-0.028
3000;-0.762;-0.012;-0.038
3040;-0.805;-0.006;-0.009
3060;-0.815;-0.008;-0.002
3100;-0.788;-0.047;0.005
3140;-0.751;-0.119;0.041
3160;-0.725;-0.143;0.048
3200;-0.675;-0.191;0.037
