DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;0.005;-0.015;0.000
40;0.005;-0.015;0.000
80;0.009;-0.001;-0.002
120;0.004;0.004;-0.002
160;0.004;0.002;-0.002
180;0.002;0.002;-0.002
220;0.007;0.000;-0.001
240;0.007;-0.001;-0.002
280;0.002;0.002;-0.001
320;0.004;0.002;0.001
360;0.003;-0.005;0.000
400;-0.002;0.000;-0.001
420;-0.002;0.000;0.000
460;-0.001;-0.002;0.002
500;-0.002;0.002;0.000
540;-0.003;0.007;0.000
580;0.000;0.003;0.001
620;0.000;0.002;-0.001
660;0.005;-0.001;0.001
700;0.004;0.001;0.000
720;0.003;0.009;0.001
760;0.007;-0.003;0.001
800;0.009;0.002;0.001
840;0.007;-0.001;0.002
880;0.005;0.001;0.002
920;0.006;-0.001;0.003
960;0.002;0.001;0.003
1000;0.002;0.002;0.002
1040;0.003;0.001;0.001
1080;0.003;0.001;0.001
1120;0.002;-0.001;-0.001
1160;0.002;-0.001;0.000
1200;0.001;0.002;0.001
1240;0.001;-0.002;-0.002
1280;0.005;0.001;0.001
1320;0.009;0.005;0.000
1360;0.010;0.002;-0.001
1400;0.011;-0.001;-0.001
1440;0.020;0.000;-0.004
1480;0.021;-0.005;0.002
1520;0.023;0.000;0.003
1560;0.023;0.004;0.006
1600;0.018;-0.001;0.004
1640;0.016;0.001;0.005
1680;0.014;0.010;0.005
1720;0.013;0.001;0.002
1760;0.005;0.013;0.001
1800;0.005;0.006;0.002
1840;0.004;0.013;-0.001
1880;-0.005;0.010;0.000
1920;-0.006;0.010;-0.001
1960;-0.009;0.002;0.000
2000;-0.009;0.014;-0.002
2020;-0.010;0.016;0.002
2060;-0.009;0.008;-0.001
2100;-0.009;0.005;-0.001
2140;-0.005;0.005;0.001
2180;-0.003;0.002;-0.001
2220;-0.001;-0.003;-0.001
2260;0.002;0.001;-0.002
2300;0.006;-0.004;-0.002
2340;0.007;-0.002;-0.002
2380;0.009;-0.003;-0.001
2420;0.012;-0.002;0.001
2460;0.016;-0.004;0.001
2500;0.011;-0.002;0.001
2540;0.012;-0.001;0.002
2580;0.009;-0.001;0.003
2620;-0.001;0.009;0.005
2660;-0.005;-0.003;0.002
2700;-0.024;0.010;-0.002
2740;-0.046;0.023;-0.007
2780;-0.060;0.014;-0.009
2820;-0.078;0.004;-0.005
2860;-0.098;0.004;-0.010
2900;-0.134;0.007;-0.015
2940;-0.181;0.013;-0.018
2980;-0.277;0.029;-0.029
3000;-0.333;0.025;-0.024
3040;-0.404;0.074;-0.038
3080;-0.498;0.076;-0.038
3120;-0.576;0.035;-0.024
3160;-0.721;0.100;-0.026
3200;-0.914;0.164;-0.022
3240;-1.024;0.081;-0.011
3280;-1.053;0.045;0.050
3320;-1.132;-0.151;0.093
3360;-1.104;-0.050;0.128
3380;-1.206;0.071;0.112
3420;-1.084;0.162;-0.001
3460;-0.897;0.180;0.050
3500;-0.698;0.120;0.029
3540;-0.389;0.185;-0.005
3580;-0.143;0.071;0.010
3620;0.124;0.015;0.013
3660;0.284;0.013;0.022
3700;0.393;-0.076;0.006
3740;0.462;-0.081;-0.011
3780;0.578;-0.035;0.005
3820;0.679;-0.012;0.005
3860;0.715;-0.079;-0.017
3900;0.828;-0.060;-0.043
3940;0.917;-0.077;-0.046
3980;1.016;-0.007;-0.118
4020;1.111;-0.022;-0.122
4060;1.144;-0.106;-0.107
4100;1.183;-0.079;-0.126
4140;1.199;-0.079;-0.121
4180;1.177;-0.075;-0.139
4220;1.045;-0.083;-0.103
4260;0.905;-0.129;-0.045
4300;0.780;-0.079;-0.040
4340;0.537;0.069;-0.027
4380;0.388;0.206;0.014
4420;0.260;0.221;-0.039
4440;0.191;0.286;-0.062
4480;0.123;0.195;-0.035
4520;0.218;0.051;-0.023
4560;0.184;0.046;-0.119
4600;0.029;0.058;-0.097
4640;-0.059;0.049;-0.078
4680;-0.098;-0.046;-0.009
4720;-0.063;0.080;0.052
4760;-0.072;0.071;0.088
4800;-0.069;0.004;0.151
4840;0.016;-0.045;0.177
4880;0.076;-0.167;0.145
4920;0.102;-0.192;0.142
4960;0.119;-0.320;0.129
5000;0.192;-0.234;0.024
5040;0.175;0.138;0.046
5080;0.299;0.003;0.114
5120;0.246;-0.343;0.246
5160;0.154;-0.286;0.223
5200;0.189;-0.015;0.191
5240;0.205;0.294;0.194
5280;0.123;0.119;0.206
5320;0.086;0.116;0.180
5360;0.032;0.042;0.142
5380;0.024;0.108;0.124
5420;-0.004;0.200;0.064
5460;-0.004;0.137;-0.012
5500;-0.004;0.093;-0.112
5540;0.038;0.067;-0.158
5580;0.099;-0.042;-0.165
5620;0.081;-0.086;-0.143
5660;0.218;0.262;-0.194
5700;0.276;0.390;-0.101
5740;0.079;0.112;0.052
5780;0.101;-0.261;0.082
5820;0.284;0.249;0.076
5860;-0.130;0.345;-0.051
5900;-0.195;0.274;-0.032
5940;-0.162;0.031;-0.132
5960;-0.111;-0.059;-0.156
6000;-0.150;-0.082;-0.164
6040;-0.196;-0.109;-0.195
6080;-0.122;-0.017;-0.146
6120;-0.127;-0.065;-0.035
6160;-0.031;-0.132;0.024
6200;0.007;-0.144;0.148
6240;-0.028;-0.346;0.238
6280;-0.004;-0.367;0.197
6320;0.155;-0.431;0.144
6360;0.124;-0.405;0.142
6400;0.241;-0.529;0.132
6440;0.233;-0.925;0.052
6480;0.118;-0.302;0.005
6520;0.316;-0.007;-0.109
6560;0.156;-0.236;-0.054
6600;0.082;-0.302;0.083
6640;0.130;-0.200;0.098
6680;0.103;-0.031;0.133
6720;0.081;0.132;0.147
6760;0.034;0.186;0.167
6800;-0.013;0.156;0.127
6840;-0.081;0.209;0.134
6880;-0.089;0.257;0.049
6920;-0.095;0.212;-0.010
6960;-0.075;0.226;-0.046
7000;-0.046;0.299;-0.101
7040;-0.046;0.318;-0.159
7080;-0.051;0.338;-0.214
7120;-0.081;0.302;-0.261
7160;-0.010;0.340;-0.255
7200;0.149;0.472;-0.264
7240;0.149;0.497;-0.288
7280;0.002;0.209;-0.257
7320;-0.227;0.031;-0.048
7360;-0.029;0.208;-0.048
7400;-0.091;0.533;-0.144
7440;-0.220;0.600;-0.227
7480;-0.340;0.663;-0.230
7520;-0.309;0.418;-0.161
7560;-0.240;0.318;-0.139
7600;-0.243;0.230;-0.175
7640;-0.216;0.181;-0.156
7680;-0.177;0.042;-0.120
7700;-0.126;-0.015;-0.097
7740;-0.027;-0.056;-0.005
7780;0.072;0.021;0.137
7820;0.048;0.409;0.100
7860;-0.101;0.502;0.132
7900;-0.161;0.632;-0.079
7940;-0.055;0.819;0.023
7980;0.012;0.970;0.060
8020;-0.001;1.176;0.048
8060;0.042;1.276;0.059
8100;0.080;1.308;-0.037
8140;0.082;1.336;-0.108
8180;0.108;1.387;-0.097
8220;0.173;1.505;-0.203
8260;0.167;1.724;-0.189
8300;0.087;1.958;-0.189
8340;0.014;2.094;-0.116
8380;-0.031;2.204;-0.101
8420;-0.114;2.361;-0.009
8460;-0.167;2.533;0.021
8500;-0.208;2.680;-0.100
8540;-0.218;2.688;-0.210
8560;-0.202;2.717;-0.273
8600;-0.126;2.942;-0.402
8640;-0.117;3.084;-0.464
8680;-0.202;2.951;-0.491
8720;-0.374;2.672;-0.434
8760;-0.425;2.199;-0.349
8800;-0.069;2.371;-0.238
8840;0.002;2.393;-0.210
8880;0.045;2.437;-0.166
8920;0.073;2.346;-0.160
8960;0.103;2.186;-0.111
9000;0.037;2.002;-0.095
9040;-0.021;1.813;-0.079
9080;-0.062;1.632;-0.098
9120;-0.083;1.423;-0.118
9160;-0.116;1.305;-0.109
9200;-0.155;1.292;-0.137
9240;-0.224;1.337;-0.269
9280;-0.259;1.203;-0.058
9320;-0.194;0.757;-0.040
9360;-0.117;0.549;0.028
9400;-0.101;0.461;0.031
9440;-0.071;0.225;0.092
9480;-0.067;-0.042;0.134
9520;-0.093;-0.181;0.201
9560;-0.049;-0.186;0.283
9600;0.023;-0.153;0.365
9640;0.188;-0.137;0.391
9680;0.190;-0.114;0.343
9720;0.178;-0.060;0.237
9760;0.169;0.073;0.109
9800;0.143;0.016;0.123
9820;0.121;0.015;0.135
9860;0.116;0.148;0.147
9900;0.030;0.159;0.162
9940;-0.013;0.279;0.131
9980;-0.060;0.215;0.060
10020;-0.108;0.116;-0.035
10060;-0.155;0.126;-0.136
10100;-0.153;0.282;-0.159
10140;-0.106;0.389;-0.169
10180;0.090;0.396;-0.235
10220;0.237;0.343;-0.213
10260;0.212;0.128;-0.082
10300;0.209;-0.078;-0.024
10320;0.300;0.038;-0.049
10360;0.174;0.465;-0.194
10400;0.002;0.432;-0.099
10420;0.060;0.423;-0.096
10460;0.001;0.177;-0.157
10500;-0.033;0.165;-0.213
10540;-0.101;0.257;-0.197
10580;-0.106;0.199;-0.154
10620;-0.145;0.101;-0.072
10660;-0.177;0.003;0.032
10700;-0.106;-0.009;0.099
10720;-0.086;-0.013;0.167
10760;-0.054;-0.120;0.251
10800;0.048;-0.173;0.198
10840;0.114;-0.087;0.123
10880;0.097;-0.280;0.097
10920;0.159;-0.437;-0.050
10960;0.092;-0.126;-0.057
11000;0.291;0.301;-0.071
11040;0.258;0.015;0.073
11080;0.164;-0.151;0.071
11120;0.214;0.060;0.084
11160;0.205;0.188;0.078
11200;0.191;0.221;0.128
11240;0.144;0.254;0.089
11280;0.101;0.261;0.102
11320;0.042;0.223;0.053
11360;-0.021;0.201;-0.034
11400;-0.032;0.123;-0.121
11440;0.038;0.086;-0.208
11480;0.095;0.002;-0.235
11520;0.093;0.097;-0.258
11560;0.033;0.037;-0.200
11600;0.125;0.303;-0.208
11640;0.108;0.184;-0.170
11680;0.015;-0.122;0.036
11720;0.015;-0.437;0.162
11760;0.025;-0.093;0.162
11800;-0.094;0.042;0.048
11840;-0.115;-0.228;-0.036
11880;-0.099;-0.591;-0.067
11920;-0.139;-0.914;-0.128
11960;-0.158;-0.994;-0.060
12000;-0.176;-1.171;0.003
12040;-0.202;-1.326;0.063
12080;-0.170;-1.506;0.114
12120;-0.108;-1.643;0.177
12160;-0.111;-1.772;0.252
12200;-0.149;-1.930;0.277
12240;-0.188;-2.206;0.315
12280;-0.199;-2.360;0.270
12320;-0.235;-2.332;0.224
12360;-0.288;-2.384;0.191
12400;-0.209;-2.522;0.112
12440;-0.262;-2.639;0.195
12480;-0.275;-2.587;0.312
12520;-0.233;-2.145;0.186
12560;-0.260;-2.040;0.088
12600;-0.304;-2.287;-0.049
12640;-0.268;-2.501;-0.075
12680;-0.269;-2.844;-0.093
12720;-0.269;-2.870;-0.129
12760;-0.294;-2.797;-0.145
12800;-0.332;-2.867;-0.175
12840;-0.333;-2.921;-0.221
12880;-0.318;-2.838;-0.225
12920;-0.335;-2.788;-0.246
12960;-0.310;-2.564;-0.338
13000;-0.285;-2.290;-0.393
13040;-0.235;-1.959;-0.421
13060;-0.233;-1.839;-0.442
13100;-0.263;-1.429;-0.401
13140;-0.349;-1.377;-0.326
13180;-0.282;-1.147;-0.117
13220;-0.367;-0.999;-0.127
13260;-0.483;-1.172;-0.215
13300;-0.472;-0.934;-0.294
13340;-0.583;-0.952;-0.271
13380;-0.671;-0.948;-0.328
13420;-0.643;-0.803;-0.210
13460;-0.692;-0.872;-0.235
13500;-0.668;-0.762;-0.194
13540;-0.693;-0.701;-0.039
13580;-0.759;-0.560;-0.046
13620;-0.798;-0.489;0.043
13660;-0.801;-0.425;0.009
13700;-0.646;-0.302;0.093
13740;-0.718;-0.407;0.108
13780;-0.663;-0.321;0.070
13820;-0.631;-0.282;0.086
13860;-0.498;-0.282;0.052
13900;-0.409;-0.177;0.094
13940;-0.375;-0.125;0.125
13980;-0.295;-0.465;0.147
14020;-0.041;0.046;0.129
