DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.002;0.013;0.003
40;-0.002;0.013;0.003
80;0.010;0.022;-0.003
120;-0.005;-0.013;-0.003
160;0.005;-0.004;0.003
200;0.005;0.000;0.002
240;0.001;-0.002;0.004
280;0.002;0.000;0.004
320;-0.001;-0.002;0.004
360;0.001;-0.001;0.002
400;-0.001;0.003;0.001
440;-0.003;0.002;0.001
480;-0.007;0.001;-0.002
520;-0.002;0.004;-0.001
560;-0.004;-0.001;0.000
600;-0.006;-0.005;0.001
620;-0.007;-0.005;0.001
660;-0.007;-0.002;-0.001
700;-0.008;-0.001;0.002
740;-0.005;-0.004;0.001
780;-0.009;-0.003;0.001
820;-0.009;0.001;0.002
860;-0.007;0.001;0.001
900;-0.007;0.001;0.001
940;-0.006;0.001;0.003
980;-0.002;0.000;0.002
1020;-0.001;-0.001;0.000
1060;-0.001;-0.002;-0.001
1100;-0.003;-0.004;-0.002
1140;0.004;0.000;-0.004
1180;-0.024;-0.005;-0.007
1220;-0.102;-0.024;-0.004
1260;-0.183;-0.038;0.003
1300;-0.183;-0.013;0.000
1340;-0.173;-0.003;0.011
1360;-0.192;-0.020;0.005
1400;-0.205;-0.038;0.001
1440;-0.203;-0.054;0.001
1480;-0.159;-0.045;0.006
1520;-0.133;-0.042;0.004
1560;-0.140;-0.048;-0.004
1600;-0.142;-0.023;0.007
1640;-0.114;-0.009;-0.002
1680;-0.077;-0.004;-0.034
1720;-0.026;-0.006;-0.056
1760;0.001;-0.002;-0.058
1800;0.053;0.037;-0.054
1840;0.040;0.093;-0.015
1860;0.032;0.079;-0.008
1900;0.013;0.042;-0.004
1940;0.037;-0.001;-0.005
1980;0.071;-0.024;-0.002
2020;0.106;-0.018;-0.005
2060;0.122;-0.011;-0.008
2100;0.093;-0.013;-0.002
2140;0.064;-0.008;0.006
2180;0.056;-0.007;0.004
2220;0.067;-0.018;0.001
2260;0.081;-0.020;-0.011
2300;0.082;-0.010;-0.020
2340;0.075;0.009;-0.015
2380;0.073;0.021;-0.006
2420;0.075;0.028;-0.002
2460;0.077;0.031;0.002
2500;0.089;0.029;0.007
2540;0.101;0.019;0.018
2560;0.104;-0.001;0.019
2600;0.084;-0.023;0.009
2640;0.075;-0.013;0.008
2680;0.073;0.004;0.014
2720;0.067;0.012;0.016
2760;0.049;0.026;0.018
2800;0.025;0.057;0.021
2840;0.000;0.021;0.016
2880;-0.003;0.037;0.020
2920;0.034;0.005;-0.002
2960;0.047;-0.003;-0.001
3000;0.073;0.003;0.002
3040;0.057;0.017;0.008
3080;0.029;0.001;0.016
3120;0.015;0.006;0.004
3160;0.026;0.002;-0.010
3200;0.067;0.002;-0.013
3240;0.082;-0.031;-0.024
3280;0.045;-0.049;-0.025
3320;-0.002;-0.044;-0.021
3360;-0.059;-0.018;-0.012
3400;-0.109;0.001;-0.008
3440;-0.216;0.007;0.008
3480;-0.337;0.011;-0.010
3520;-0.453;-0.045;-0.043
3560;-0.580;-0.061;-0.051
3600;-0.720;-0.062;-0.057
3640;-0.903;-0.099;-0.076
3680;-1.165;-0.117;-0.053
3720;-1.350;-0.139;-0.031
3760;-1.308;-0.169;-0.019
3800;-1.261;-0.189;-0.030
3840;-1.384;-0.132;0.002
3880;-1.199;-0.064;-0.090
3920;-1.035;-0.159;-0.178
3960;-0.764;-0.210;-0.169
4000;-0.387;-0.157;-0.048
4040;-0.089;-0.211;0.031
4080;0.224;-0.062;0.049
4100;0.287;-0.035;0.018
4140;0.412;-0.147;-0.070
4180;0.702;-0.043;-0.219
4220;0.905;0.072;-0.309
4260;0.963;0.119;-0.395
4300;0.953;-0.049;-0.485
4340;1.017;0.006;-0.385
4380;0.952;0.315;-0.338
4420;0.649;0.440;-0.082
4460;0.641;0.491;-0.003
4500;0.264;0.208;-0.116
4540;0.126;0.086;-0.126
4580;0.239;-0.036;-0.015
4620;0.345;0.342;0.064
4660;0.509;0.385;0.126
4700;0.663;0.315;0.062
4740;0.756;-0.040;-0.086
4780;0.653;-0.450;-0.204
4820;0.737;-0.324;-0.197
4860;0.273;-0.021;0.029
4900;-0.071;-0.315;-0.401
4940;-0.883;-0.494;-0.765
4980;-1.334;-0.542;-0.210
5020;-0.713;-0.280;-0.068
5060;0.437;-0.437;0.335
5100;0.718;-0.467;0.311
5140;0.684;0.051;0.150
5160;0.646;0.181;0.147
5200;0.647;0.282;0.212
5240;0.607;0.503;0.325
5280;0.663;0.918;0.227
5300;0.662;0.935;0.131
5340;0.791;0.023;-0.142
5380;0.368;0.202;0.283
5420;-0.662;0.221;0.616
5460;-1.663;-0.089;1.282
5500;-1.972;0.401;1.089
5540;0.166;0.420;0.186
5580;0.837;0.663;-0.398
5620;0.672;-0.098;-0.621
5660;0.578;-0.553;-0.535
5700;0.335;-0.004;0.034
5740;0.269;0.360;0.315
5780;0.292;-0.174;0.044
5820;0.507;-0.585;0.067
5860;0.442;0.480;-0.012
5900;0.317;0.136;-0.403
5940;-0.472;0.220;-0.991
5980;-1.206;0.253;-1.153
6020;-1.392;0.371;-1.058
6040;-1.268;0.275;-0.770
6080;-0.004;1.020;0.310
6120;0.504;1.194;0.465
6160;0.591;1.027;0.221
6200;0.470;0.721;-0.170
6240;0.192;0.825;0.135
6280;0.238;1.349;0.136
6320;0.331;1.182;0.038
6360;0.359;0.815;-0.054
6400;0.442;0.530;0.218
6440;0.224;1.192;0.521
6460;-0.201;1.162;0.609
6500;-0.660;0.930;0.707
6540;-0.863;1.117;0.629
6580;-0.700;0.943;0.541
6620;-0.567;0.666;0.343
6660;-0.323;0.786;-0.191
6700;0.008;0.805;-0.197
6740;-0.056;1.229;0.429
6780;-0.065;1.913;0.668
6820;0.011;1.382;0.159
6860;0.465;0.512;-0.167
6900;0.709;1.313;0.023
6940;0.323;2.211;0.684
6980;-0.134;1.679;0.369
7020;-0.469;1.464;-1.083
7060;-0.435;1.330;-0.965
7100;-0.547;1.806;-0.315
7140;-0.317;2.643;-0.026
7180;0.090;2.733;-0.233
7220;0.290;2.657;-0.128
7260;0.241;2.808;-0.098
7300;-0.067;2.870;-0.192
7340;-0.701;2.543;-0.274
7380;-0.807;2.321;-0.247
7420;-0.423;2.188;-0.181
7460;-0.060;2.181;-0.078
7500;0.004;2.069;0.125
7540;-0.076;1.775;0.125
7560;-0.351;1.898;0.067
7600;-0.812;2.064;0.213
7640;-0.875;1.885;0.608
7680;-0.706;1.867;0.293
7720;-0.553;1.500;0.018
7760;-0.362;1.316;0.063
7800;-0.046;1.151;-0.033
7840;0.125;1.334;-0.073
7880;-0.042;1.212;0.010
7920;-0.127;1.078;0.002
7960;-0.227;0.872;0.076
7980;-0.304;0.685;0.119
8020;-0.217;0.367;0.044
8040;-0.065;0.288;0.031
8080;0.403;0.255;-0.024
8120;0.728;0.362;-0.135
8160;0.716;0.476;-0.139
8200;0.469;0.516;-0.106
8240;-0.221;0.545;-0.374
8280;-0.579;0.801;-0.266
8320;-0.267;0.496;-0.222
8360;-0.244;0.217;-0.126
8400;-0.434;0.304;-0.423
8440;-0.257;0.460;-0.321
8480;-0.012;0.461;-0.074
8520;0.035;0.582;0.247
8560;0.100;0.750;0.399
8600;0.248;0.743;0.296
8640;0.175;0.618;0.158
8680;0.077;0.324;0.015
8720;0.027;0.263;-0.022
8760;0.045;0.389;-0.014
8800;0.137;0.263;-0.075
8840;0.468;0.099;-0.014
8880;0.208;0.254;0.305
8920;-0.318;0.082;0.643
8960;-0.575;0.263;0.806
9000;-0.954;0.278;0.456
9040;-0.762;0.122;0.213
9080;-0.100;-0.115;-0.217
9120;0.234;-0.128;-0.500
9160;0.306;-0.322;-0.295
9200;0.187;-0.139;0.086
9240;0.165;0.195;0.130
9280;0.120;-0.084;-0.046
9320;0.363;-0.612;-0.115
9360;0.355;-0.006;0.099
9400;0.298;0.203;0.067
9440;-0.007;-0.188;-0.505
9480;-0.447;-0.371;-0.936
9520;-0.581;-0.137;-0.884
9560;-0.662;-0.144;-0.491
9600;-0.441;0.262;-0.086
9640;-0.220;0.721;0.550
9680;0.156;0.384;0.370
9720;0.389;0.195;-0.171
9760;0.287;0.094;0.121
9800;0.194;0.448;0.168
9820;0.188;0.591;0.139
9860;0.174;0.457;0.049
9900;0.194;0.217;-0.024
9940;0.059;0.510;0.131
9980;-0.472;0.966;0.519
10020;-0.736;0.770;0.899
10060;-0.897;1.282;0.456
10100;-0.901;1.054;0.433
10140;-0.811;0.944;0.385
10180;-0.379;1.104;0.078
10220;-0.002;1.403;0.304
10260;0.014;1.352;0.421
10300;0.159;1.494;0.296
10340;0.251;1.335;0.113
10380;-0.203;1.544;0.644
10420;-1.104;2.159;0.452
10460;-1.062;1.830;-0.386
10500;-0.002;1.709;-0.682
10540;-0.070;1.982;0.065
10560;-0.362;2.148;0.500
10600;-0.516;2.666;0.677
10640;-0.443;2.443;0.409
10680;-0.341;2.486;0.299
10720;-0.359;2.514;0.335
10760;-0.468;2.587;0.373
10800;-0.678;2.566;0.368
10840;-0.793;2.578;0.445
10880;-1.018;2.464;0.475
10920;-1.372;2.247;0.651
10960;-1.562;1.659;0.746
11000;-1.320;1.581;0.845
11040;-0.571;1.695;0.481
11080;-0.213;1.544;0.405
11120;-0.482;1.403;0.540
11160;-0.953;1.319;0.594
11200;-0.761;1.187;0.567
11240;-0.403;1.094;0.514
11280;-0.522;0.976;0.500
11320;-1.018;1.006;0.425
11360;-0.616;1.064;0.764
11400;-0.442;1.041;0.734
11440;-0.784;0.540;0.896
11480;-0.621;0.140;0.690
11520;-0.334;0.220;0.705
11560;-0.266;0.298;0.636
11600;-0.390;0.319;0.563
11640;-0.367;0.243;0.569
11680;-0.220;0.281;0.447
11720;0.068;0.343;0.405
11760;0.298;0.458;0.301
11800;0.299;0.411;0.155
11840;0.432;0.410;0.108
11880;0.523;0.345;0.114
11920;0.571;0.286;0.084
11940;0.649;0.308;0.034
11980;0.690;0.370;-0.022
12020;0.463;0.404;-0.128
12060;0.307;0.351;-0.155
12100;0.390;0.222;-0.194
12140;0.565;0.209;-0.154
12180;0.541;0.087;-0.131
12220;0.541;-0.082;-0.079
12260;0.481;-0.147;-0.130
12300;0.398;-0.190;-0.188
12340;0.381;-0.241;-0.134
12380;0.520;-0.188;-0.155
12420;0.713;-0.050;-0.103
12460;0.685;-0.089;-0.007
12500;0.512;-0.051;-0.064
12540;0.276;-0.062;-0.004
12580;0.099;-0.119;0.087
12620;0.130;-0.195;0.085
12660;0.216;-0.247;-0.002
12700;0.266;-0.203;-0.010
12740;0.235;-0.032;0.119
12780;0.128;-0.012;0.218
12800;0.076;0.018;0.189
12840;0.044;0.134;0.152
12880;0.084;0.188;0.183
12920;0.107;0.184;0.221
12960;0.059;0.186;0.242
13000;0.001;0.192;0.221
13040;0.023;0.212;0.214
13080;0.108;0.151;0.164
