DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.053;-0.030;0.004
39;-0.053;-0.030;0.004
79;0.004;0.005;-0.001
120;0.009;-0.001;-0.004
160;0.002;0.004;-0.002
199;0.002;-0.001;-0.001
240;-0.002;-0.002;-0.003
280;0.001;-0.004;-0.001
319;0.000;-0.005;0.000
359;-0.007;-0.002;0.001
400;-0.005;0.001;0.001
440;-0.002;-0.001;0.001
479;-0.010;0.003;-0.001
519;-0.005;0.001;0.002
560;-0.002;0.005;-0.001
599;-0.002;0.003;0.002
639;0.003;-0.002;0.000
680;0.013;0.000;-0.002
720;0.009;0.006;-0.002
740;0.006;0.008;0.004
780;0.013;0.001;0.006
819;0.010;-0.006;0.001
859;0.009;-0.014;0.001
900;0.012;-0.016;-0.003
940;0.012;-0.011;-0.003
979;0.007;-0.011;-0.001
1019;0.005;-0.007;-0.001
1060;-0.004;0.001;-0.002
1079;0.004;0.005;-0.002
1120;-0.003;0.007;-0.003
1160;-0.002;0.007;0.001
1199;0.007;0.000;0.001
1239;-0.001;0.000;-0.002
1259;0.002;-0.007;0.004
1299;0.004;-0.007;0.001
1340;0.005;-0.002;0.001
1359;0.004;-0.004;0.007
1400;0.013;-0.006;0.002
1440;0.010;0.002;0.001
1479;0.007;0.007;0.004
1519;0.007;0.002;0.001
1560;0.006;0.003;-0.002
1599;-0.002;0.007;0.001
1639;0.005;0.002;0.001
1680;0.006;-0.004;0.000
1720;0.004;-0.002;0.001
1759;0.002;-0.002;0.002
1799;-0.001;-0.004;0.001
1840;-0.003;-0.001;0.001
1880;-0.004;0.002;0.002
1919;0.002;-0.002;0.000
1960;-0.002;-0.004;0.001
2000;0.003;-0.005;0.002
2039;0.001;0.000;0.001
2079;0.008;0.002;0.002
2120;0.008;-0.005;0.002
2139;0.014;-0.009;0.001
2180;0.018;-0.006;0.002
2220;0.017;-0.002;0.002
2259;0.016;-0.007;0.005
2299;0.015;-0.002;0.003
2340;0.011;0.001;0.003
2380;0.023;-0.002;0.002
2419;0.027;-0.001;0.001
2460;0.021;-0.002;0.002
2500;0.023;-0.007;0.004
2539;0.021;-0.018;-0.003
2579;-0.040;-0.027;0.013
2620;-0.132;-0.015;0.013
2660;-0.318;0.010;-0.002
2680;-0.391;-0.001;-0.016
2720;-0.517;-0.032;-0.018
2759;-0.668;-0.023;-0.013
2799;-0.831;0.084;-0.041
2840;-1.064;0.197;-0.079
2880;-1.368;0.224;-0.122
2919;-1.643;0.137;-0.130
2960;-2.222;-0.010;-0.142
3000;-2.084;-0.060;0.002
3039;-1.480;0.086;-0.066
3079;-1.235;-0.024;-0.141
3099;-1.133;0.023;-0.104
3139;-0.732;0.144;0.049
3180;-0.659;0.192;-0.055
3220;-0.421;0.243;-0.103
3259;-0.272;0.164;-0.052
3299;-0.053;0.103;-0.067
3340;0.126;0.058;-0.109
3380;0.265;0.018;-0.162
3419;0.404;-0.073;-0.209
3460;0.596;-0.214;-0.203
3500;0.781;-0.329;-0.247
3539;0.934;-0.472;-0.345
3579;0.981;-0.600;-0.347
3599;1.053;-0.669;-0.298
3639;1.067;-0.596;-0.215
3680;1.067;-0.127;-0.174
3699;1.047;0.027;-0.167
3740;1.047;0.108;-0.170
3780;0.997;0.067;-0.177
3819;0.971;-0.103;-0.076
3859;0.862;-0.028;-0.075
3900;0.669;0.153;0.014
3940;0.483;0.192;0.010
3979;0.338;0.311;0.012
4019;0.258;0.206;0.106
4060;0.268;0.042;0.130
4099;0.373;-0.180;0.155
4139;0.238;-0.405;0.280
4180;0.201;-0.541;0.424
4220;0.367;-0.545;0.466
4259;0.299;-0.453;0.525
4299;0.181;-0.166;0.319
4319;0.304;-0.199;0.272
4359;0.143;-0.087;0.274
4400;0.105;-0.506;0.197
4440;0.072;-0.310;0.122
4479;0.152;-0.120;0.186
4519;0.113;-0.178;0.199
4560;0.043;-0.018;0.213
4599;-0.151;-0.380;0.200
4639;-0.131;-0.385;0.090
4680;-0.026;-0.160;-0.048
4720;0.108;0.085;-0.170
4759;0.248;0.291;-0.282
4799;0.330;0.574;-0.351
4840;0.451;0.415;-0.412
4880;0.954;0.787;-0.265
4900;1.134;1.063;-0.185
4940;0.349;-0.034;-0.191
4979;-0.866;-0.060;0.048
5020;-0.306;0.375;-0.240
5039;0.154;0.814;-0.206
5079;-0.043;0.944;0.172
5120;0.118;0.496;-0.141
5160;-0.073;0.293;-0.370
5199;-0.211;-0.027;-0.191
5239;-0.233;0.139;-0.164
5280;-0.187;0.187;-0.133
5319;-0.012;0.367;0.148
5359;0.398;0.450;0.271
5400;0.546;0.238;0.217
5440;0.047;-0.140;0.289
5479;-0.439;-0.188;0.505
5519;0.816;-0.035;0.214
5560;0.915;0.268;0.257
5599;-0.043;0.673;0.119
5639;0.171;0.181;0.126
5680;0.026;0.085;-0.001
5720;-0.158;-0.129;-0.144
5759;-0.041;0.308;0.208
5799;0.026;0.606;0.238
5840;-0.141;0.677;0.147
5880;-0.196;0.638;0.162
5919;-0.194;0.628;0.081
5960;-0.095;0.878;-0.146
6000;0.113;1.097;-0.257
6039;0.043;1.216;-0.283
6079;0.046;1.260;-0.319
6120;0.205;1.385;-0.329
6160;0.484;1.811;-0.421
6199;-0.159;1.814;-0.558
6239;-0.233;2.013;0.100
6280;-0.165;2.316;-0.005
6319;-0.257;2.194;-0.205
6359;-0.236;2.011;-0.330
6400;-0.301;1.961;-0.496
6440;-0.150;2.266;-0.263
6479;-0.148;2.271;-0.193
6519;-0.221;2.172;-0.009
6560;-0.143;1.946;0.140
6599;-0.073;1.646;0.087
6639;-0.026;1.480;0.104
6660;0.008;1.436;0.221
6699;0.084;1.177;0.430
6739;0.226;0.905;0.489
6780;0.384;0.876;0.588
6799;0.273;0.842;0.560
6840;0.083;1.190;0.136
6859;0.491;1.477;0.015
6900;0.188;1.310;-0.013
6940;-0.037;1.465;-0.175
6979;-0.177;1.266;-0.151
7019;-0.062;1.698;0.203
7060;0.005;1.729;0.228
7099;0.051;1.857;0.227
7139;-0.047;1.712;0.288
7180;0.018;1.706;0.277
7220;0.233;1.810;0.213
7240;0.309;1.770;0.176
7280;0.233;1.671;0.147
7319;0.040;1.454;0.062
7359;-0.097;1.239;-0.038
7400;0.149;1.103;-0.186
7440;0.362;1.275;-0.400
7479;0.453;1.516;-0.468
7519;0.602;1.560;-0.568
7560;0.037;1.046;-0.363
7599;0.270;1.103;-0.246
7639;-0.038;1.382;-0.553
7680;-0.054;1.716;-0.294
7720;-0.021;1.366;-0.094
7759;0.032;1.024;-0.280
7780;0.059;0.946;-0.265
7819;0.100;0.829;-0.180
7859;-0.042;0.739;-0.129
7900;-0.048;0.762;-0.002
7940;0.026;0.744;0.188
7979;0.001;0.484;0.274
8019;0.006;0.102;0.373
8060;0.206;-0.232;0.462
8099;0.390;-0.117;0.572
8139;0.674;0.032;0.458
8180;0.225;-0.198;0.342
8220;0.141;-0.107;0.159
8259;0.300;0.314;0.248
8299;-0.197;-0.265;0.012
8340;-0.126;0.121;0.108
8380;-0.101;0.442;0.409
8419;-0.100;0.384;0.268
8440;-0.084;0.395;0.195
8479;-0.117;0.186;0.158
8519;-0.101;0.292;0.152
8560;-0.048;0.551;-0.034
8599;0.046;0.734;-0.271
8620;0.128;0.811;-0.350
8660;0.261;0.914;-0.382
8699;0.184;0.699;-0.466
8740;0.360;0.624;-0.505
8780;0.461;0.800;-0.423
8819;-0.129;0.177;0.060
8859;0.097;0.610;-0.049
8900;-0.302;1.274;-0.075
8940;-0.163;1.494;0.162
8979;0.071;0.971;-0.184
9019;-0.145;0.771;-0.356
9060;-0.104;0.748;-0.046
9099;-0.025;0.942;-0.062
9139;0.026;1.111;-0.020
9180;-0.007;1.228;0.208
9220;0.140;0.988;0.340
9239;0.200;0.754;0.326
9280;0.065;0.357;0.389
9319;0.358;0.033;0.710
9359;0.407;0.029;0.566
9400;0.357;0.274;-0.080
9440;0.150;0.714;-0.176
9479;-0.132;0.841;-0.083
9519;0.086;1.822;0.191
9560;0.018;2.055;0.481
9599;0.029;2.395;0.348
9639;-0.062;2.772;0.093
9680;-0.370;2.916;0.158
9720;-0.239;3.100;0.161
9759;-0.016;3.244;0.137
9799;-0.064;3.319;0.009
9840;-0.206;3.319;-0.111
9880;-0.196;3.472;-0.097
9919;-0.145;3.454;-0.057
9960;-0.254;3.606;-0.053
10000;-0.513;3.772;-0.216
10039;-0.967;3.478;-0.216
10079;-1.244;2.601;0.106
10120;-0.992;1.592;0.316
10160;-0.076;0.741;-0.064
10199;-0.265;0.874;0.004
10240;-0.471;0.972;0.279
10280;-0.430;0.838;0.283
10319;-0.571;0.728;0.292
10359;-0.580;0.642;0.377
10400;-0.721;0.587;0.433
10440;-0.924;0.445;0.490
10479;-1.187;0.624;0.641
10519;-0.819;0.831;0.881
10560;-0.722;0.410;0.784
10599;-0.487;0.668;0.602
10639;0.040;0.415;0.657
10680;-0.126;0.475;0.483
10720;0.037;0.415;0.541
10759;0.182;0.510;0.586
10800;0.145;0.517;0.451
10840;0.322;0.603;0.492
10880;0.357;0.638;0.299
10919;0.702;0.259;0.285
10960;0.808;0.199;0.210
11000;1.120;0.203;-0.017
11039;1.417;0.230;-0.052
11079;1.690;0.036;-0.005
11120;1.932;-0.189;0.034
11160;1.988;-0.307;0.118
11199;1.398;-0.146;0.206
11240;0.804;-0.034;0.070
11280;0.773;-0.047;0.065
11319;0.621;-0.025;0.076
11359;0.370;-0.217;0.103
11400;0.501;-0.318;0.144
11440;0.646;-0.403;0.149
11479;0.326;-0.486;0.114
11519;0.104;-0.524;0.036
11560;-0.001;-0.457;-0.009
