DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.026;0.053;-0.012
40;-0.026;0.053;-0.012
80;0.019;0.063;-0.007
120;0.010;0.037;-0.004
160;0.010;0.009;0.005
200;0.004;0.040;-0.001
240;0.013;0.005;0.005
280;0.015;-0.104;0.007
320;0.037;-0.160;0.021
360;0.052;-0.188;0.052
400;0.035;-0.110;0.096
440;0.023;-0.115;0.019
480;0.029;-0.001;0.018
520;-0.005;-0.051;0.009
560;0.015;0.057;0.013
600;0.015;-0.084;-0.002
640;0.012;-0.042;0.004
680;0.003;-0.013;0.011
700;0.006;-0.008;0.010
740;0.001;-0.021;0.005
780;0.003;-0.030;-0.002
820;0.011;-0.009;-0.001
860;0.009;-0.026;0.005
880;0.012;-0.029;0.001
920;0.002;-0.004;0.005
960;-0.004;-0.034;-0.002
1000;-0.007;-0.006;0.002
1040;0.004;-0.014;0.004
1080;0.016;-0.024;0.007
1120;0.015;-0.009;0.007
1160;0.010;-0.008;0.009
1200;0.001;-0.001;0.004
1240;-0.005;-0.002;0.000
1280;0.001;0.011;0.001
1320;0.005;-0.016;0.005
1360;0.000;-0.003;0.007
1380;-0.002;-0.005;0.009
1420;-0.002;-0.004;0.007
1460;-0.003;-0.007;0.004
1500;-0.004;-0.002;0.005
1540;-0.002;0.004;0.004
1580;-0.001;-0.002;0.004
1620;-0.001;0.002;0.002
1660;-0.004;-0.003;0.002
1700;-0.004;0.003;-0.005
1740;-0.007;0.012;-0.010
1780;-0.009;0.023;-0.007
1820;0.002;0.024;-0.007
1860;0.005;-0.006;-0.004
1900;0.000;-0.001;-0.002
1940;-0.002;-0.002;0.001
1980;-0.002;-0.003;0.005
2020;-0.005;0.007;-0.002
2060;-0.007;0.000;-0.004
2100;-0.007;0.014;-0.002
2140;-0.004;0.000;0.002
2160;-0.007;0.001;0.001
2200;-0.009;0.006;-0.004
2240;-0.010;0.000;-0.004
2280;-0.010;0.004;-0.004
2320;-0.008;0.004;-0.001
2360;-0.008;0.004;-0.001
2400;-0.004;-0.006;0.001
2440;-0.001;-0.009;0.002
2480;-0.004;-0.005;0.008
2520;-0.002;-0.013;0.002
2560;-0.009;0.002;0.002
2600;-0.009;-0.007;-0.005
2640;-0.002;0.018;0.002
2680;0.006;-0.013;0.005
2720;0.001;-0.024;0.007
2760;-0.006;-0.016;-0.001
2800;0.009;-0.038;0.006
2840;0.020;-0.109;0.013
2880;0.032;-0.115;0.016
2920;0.004;-0.131;0.002
2960;-0.049;-0.082;0.013
3000;-0.079;-0.032;0.028
3040;-0.106;-0.035;0.034
3080;-0.247;-0.029;0.034
3120;-0.491;0.010;0.000
3160;-0.729;0.019;-0.044
3200;-1.050;0.072;-0.104
3240;-1.365;0.113;-0.165
3280;-1.586;0.199;-0.244
3320;-1.810;0.108;-0.291
3360;-1.590;0.018;-0.306
3400;-1.334;-0.150;-0.334
3440;-1.012;-0.156;-0.308
3480;-0.753;-0.115;-0.207
3520;-0.511;-0.095;-0.159
3560;-0.267;-0.079;-0.100
3600;-0.084;-0.034;-0.079
3640;0.011;0.023;-0.047
3680;0.082;0.105;-0.024
3720;0.137;0.151;-0.012
3760;0.261;0.155;-0.016
3800;0.428;0.120;-0.009
3840;0.553;0.095;0.024
3860;0.618;0.092;0.048
3900;0.757;0.068;0.071
3940;0.865;0.136;0.114
3980;0.900;0.160;0.203
4020;0.956;0.199;0.244
4060;1.009;0.294;0.277
4100;0.938;0.188;0.244
4140;0.822;0.109;0.172
4180;0.693;0.008;0.092
4220;0.445;-0.051;0.031
4260;0.241;-0.129;-0.038
4300;0.173;0.031;-0.117
4340;0.131;0.150;-0.149
4380;0.089;0.301;-0.167
4420;0.203;0.497;-0.193
4460;0.403;0.674;-0.230
4500;0.498;0.740;-0.227
4540;-0.033;0.491;-0.299
4580;0.406;0.155;-0.129
4620;0.277;0.146;0.001
4660;0.155;0.186;-0.003
4700;0.120;0.128;0.084
4740;0.174;-0.002;0.106
4780;0.159;0.097;0.107
4820;0.054;0.307;0.068
4860;-0.070;0.352;0.080
4900;-0.126;0.236;0.076
4940;-0.108;0.134;0.051
4980;-0.094;0.125;0.048
5020;-0.130;0.117;0.091
5040;-0.137;0.080;0.104
5080;-0.073;-0.214;0.150
5100;0.005;-0.416;0.195
5140;0.153;-0.459;0.292
5180;0.387;-0.411;0.396
5220;0.468;-0.442;0.450
5240;0.092;-0.130;0.922
5280;0.565;-0.283;0.242
5320;0.232;0.112;0.239
5360;0.349;0.064;0.217
5400;0.375;0.209;0.159
5440;0.236;0.560;0.185
5480;0.003;0.385;0.156
5520;-0.142;0.346;0.086
5540;-0.203;0.354;0.027
5580;-0.294;0.299;-0.029
5620;-0.261;0.197;-0.035
5660;-0.259;0.137;-0.078
5700;-0.217;0.216;-0.139
5740;-0.118;0.223;-0.202
5780;0.037;0.196;-0.252
5820;0.224;0.223;-0.323
5860;0.709;0.966;-0.393
5880;0.331;0.999;-0.430
5920;0.067;-0.583;-0.506
5960;0.229;0.088;-0.195
6000;-0.148;0.188;-0.120
6040;-0.037;0.055;-0.011
6080;-0.140;0.328;0.057
6120;-0.264;-0.018;-0.024
6160;-0.270;0.020;-0.023
6200;-0.223;-0.273;-0.009
6240;-0.203;-0.227;-0.039
6280;-0.151;-0.311;0.005
6320;-0.121;-0.462;0.053
6360;-0.090;-0.608;0.063
6400;0.048;-0.650;0.137
6440;0.197;-0.653;0.266
6480;0.390;-0.715;0.318
6520;0.532;-0.740;0.498
6560;0.475;0.084;0.605
6600;0.429;-0.061;0.059
6640;-0.103;0.020;0.137
6680;-0.153;-0.414;0.065
6720;0.079;-0.210;0.001
6760;-0.045;-0.316;0.020
6800;-0.374;-0.802;0.031
6840;-0.365;-0.916;-0.020
6880;-0.243;-0.924;-0.013
6920;-0.191;-0.977;-0.021
6960;-0.122;-0.993;-0.038
7000;-0.076;-0.920;-0.055
7040;-0.060;-0.935;-0.124
7080;0.114;-0.881;-0.235
7120;0.408;-0.678;-0.227
7160;0.212;-0.727;-0.319
7200;0.103;-1.658;-0.032
7220;0.071;-1.686;-0.071
7260;0.016;-1.594;-0.159
7300;-0.092;-1.698;0.010
7320;-0.167;-1.918;0.043
7360;-0.092;-2.176;0.062
7400;-0.087;-2.315;0.110
7440;-0.108;-2.467;0.170
7480;-0.122;-2.577;0.210
7520;-0.131;-2.695;0.224
7560;-0.160;-2.783;0.186
7600;-0.162;-2.978;0.108
7640;-0.152;-3.019;0.019
7680;-0.199;-3.158;0.045
7720;-0.319;-3.381;0.131
7760;-0.373;-3.185;0.185
7800;-0.415;-2.966;-0.067
7840;-0.301;-2.910;-0.046
7880;-0.372;-3.151;-0.122
7920;-0.076;-2.751;-0.077
7960;-0.180;-2.473;-0.051
8000;-0.177;-2.184;-0.200
8040;0.024;-1.789;-0.235
8080;0.044;-1.439;-0.218
8120;-0.029;-1.261;-0.235
8160;-0.054;-1.187;-0.205
8200;-0.101;-1.213;-0.109
8240;-0.086;-1.278;-0.101
8280;-0.179;-1.231;-0.174
8320;-0.122;-1.393;-0.183
8360;-0.044;-1.036;-0.184
8400;-0.012;-0.936;-0.163
8440;0.136;-0.608;-0.222
8480;0.130;-0.451;-0.146
8520;0.037;-0.345;-0.111
8560;-0.032;-0.060;-0.158
8600;-0.115;0.183;-0.150
8640;-0.105;0.386;-0.098
8680;-0.115;0.597;-0.119
8720;-0.153;0.640;-0.070
8740;-0.180;0.587;-0.043
8780;-0.233;0.480;-0.021
8820;-0.206;0.470;0.019
8860;-0.130;0.379;0.068
8900;-0.151;0.295;0.096
8940;-0.177;-0.010;0.123
8980;-0.158;-0.141;0.210
9000;-0.043;-0.091;0.283
9040;0.078;-0.049;0.352
9080;0.497;-0.032;0.248
9120;0.194;-0.165;0.290
9160;0.120;-0.340;0.147
9200;0.360;0.076;0.032
9240;0.227;0.301;0.108
9280;0.068;0.158;0.119
9320;-0.053;-0.014;-0.004
9360;-0.099;-0.136;-0.020
9400;-0.026;-0.179;-0.037
9440;0.052;-0.056;-0.087
9480;0.108;-0.026;-0.175
9520;0.111;-0.090;-0.254
9560;0.092;0.052;-0.264
9600;0.314;0.347;-0.294
9640;0.743;0.682;-0.195
9680;0.335;0.254;-0.629
9720;0.206;-0.090;-0.038
9760;-0.018;-0.104;-0.121
9800;-0.530;-0.031;-0.140
9840;-0.092;-0.316;-0.108
9880;0.293;-0.302;-0.100
9920;0.188;-0.141;-0.033
9960;0.011;0.100;0.039
10000;-0.291;0.082;-0.055
