DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;0.006;-0.007;-0.005
40;0.006;-0.007;-0.005
80;0.010;-0.003;0.000
120;0.009;-0.004;-0.001
140;0.005;0.004;-0.001
180;0.008;-0.009;0.001
220;0.010;-0.012;0.002
260;0.005;-0.007;0.001
300;0.006;-0.014;0.001
340;0.005;-0.032;0.003
380;0.007;-0.034;0.001
420;0.009;-0.030;-0.001
460;0.018;-0.027;-0.010
500;0.009;-0.018;0.000
540;0.015;0.001;-0.001
580;0.009;-0.005;-0.001
620;0.007;-0.008;-0.002
660;0.012;-0.001;-0.002
700;0.011;-0.004;-0.002
740;0.009;-0.001;-0.004
780;0.005;-0.003;-0.005
820;0.004;-0.001;-0.006
860;0.005;-0.004;-0.005
900;0.002;0.001;-0.005
940;-0.002;-0.003;-0.005
980;-0.001;-0.002;-0.005
1020;-0.002;0.001;-0.005
1060;-0.001;0.001;-0.005
1100;-0.004;0.000;-0.004
1140;-0.002;-0.001;-0.005
1180;0.000;0.002;-0.002
1200;0.004;0.001;-0.001
1240;0.005;0.000;0.000
1280;0.005;-0.001;0.001
1320;0.009;-0.003;0.001
1340;0.010;-0.003;0.002
1380;0.013;0.000;0.001
1420;0.013;-0.003;0.004
1460;0.013;0.001;0.002
1500;0.010;0.003;0.003
1540;0.014;-0.005;0.004
1580;0.016;0.001;0.004
1620;0.018;-0.001;0.004
1660;0.020;0.000;0.006
1700;0.016;0.001;0.005
1740;0.016;-0.002;0.005
1780;0.018;-0.002;0.004
1820;0.016;0.001;0.004
1860;0.015;-0.002;0.002
1900;0.013;-0.002;0.001
1940;0.011;-0.002;0.001
1980;0.006;0.002;0.000
2020;0.001;-0.002;-0.002
2060;-0.002;0.000;-0.003
2100;-0.004;-0.001;-0.004
2140;-0.008;0.000;-0.003
2180;-0.009;0.001;-0.002
2220;-0.006;-0.001;-0.001
2260;-0.006;0.001;-0.002
2300;-0.004;0.001;-0.001
2340;-0.001;-0.004;0.001
2380;-0.002;0.001;-0.001
2420;-0.002;0.000;0.000
2460;0.004;-0.001;0.001
2500;0.009;0.001;0.002
2540;0.012;-0.001;0.002
2580;0.009;-0.002;0.001
2620;0.008;-0.001;0.001
2660;0.010;-0.002;0.000
2700;0.012;-0.002;-0.001
2720;0.010;-0.001;-0.002
2760;0.007;-0.001;-0.002
2800;0.001;-0.001;-0.003
2840;0.001;-0.002;-0.005
2880;0.001;0.001;-0.006
2920;-0.001;-0.001;-0.005
2960;-0.003;-0.002;-0.004
3000;-0.005;0.001;-0.007
3040;-0.005;0.001;-0.005
3080;-0.005;-0.003;-0.005
3120;-0.006;0.001;-0.004
3160;-0.009;-0.001;-0.005
3200;-0.009;0.001;-0.003
3220;-0.008;0.001;-0.004
3260;-0.009;0.004;-0.002
3300;-0.010;0.001;-0.002
3320;-0.009;0.000;-0.001
3360;-0.010;-0.001;-0.002
3400;-0.009;0.001;-0.002
3420;-0.010;0.002;-0.001
3460;-0.006;0.000;0.000
3500;-0.002;0.001;0.002
3540;0.004;-0.004;0.003
3580;0.012;-0.006;0.006
3600;0.015;-0.009;0.006
3640;0.027;-0.022;0.005
3680;0.049;-0.046;0.000
3720;0.051;-0.056;-0.006
3760;0.015;-0.034;-0.031
3800;-0.061;0.017;-0.038
3840;-0.186;0.056;-0.071
3880;-0.269;0.036;-0.092
3920;-0.366;0.070;-0.122
3940;-0.448;0.042;-0.133
3980;-0.693;0.005;-0.154
4000;-0.827;-0.021;-0.166
4040;-1.103;-0.056;-0.221
4080;-1.371;-0.034;-0.287
4100;-1.451;-0.053;-0.318
4140;-1.540;-0.082;-0.356
4180;-1.610;-0.166;-0.378
4220;-1.702;-0.199;-0.404
4260;-1.841;-0.345;-0.411
4300;-1.790;-0.135;-0.337
4340;-1.738;-0.194;-0.328
4380;-1.374;-0.054;-0.246
4420;-1.100;-0.156;-0.250
4460;-0.884;-0.145;-0.187
4480;-0.793;-0.145;-0.134
4520;-0.607;-0.151;-0.103
4560;-0.423;-0.122;-0.125
4580;-0.319;-0.117;-0.122
4620;-0.125;-0.133;-0.100
4660;0.071;-0.081;-0.094
4700;0.290;-0.059;-0.118
4740;0.428;-0.051;-0.120
4780;0.593;-0.062;-0.104
